# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.0,6.454943
AGO,0.0,0.0,0.935912
ARE,0.0,0.0,1.41976
ARM,0.0,0.0,0.921952
ATG,0.0,0.0,0.001203
AZE,0.0,0.0,1.66954
BFA,0.0,0.0,2.427717
BGD,0.0,0.0,9.224991
BHS,0.0,0.0,0.000241
BOL,0.0,0.0,3.061838
BRA,0.0,0.0,4.291774
BRB,0.0,0.0,0.001186
BRN,0.0,0.0,0.098264
BTN,0.0,0.0,0.032692
BWA,0.0,0.0,0.803647
CAF,0.0,0.0,3.145706
CHL,0.0,0.0,1.174771
CMR,0.0,0.0,1.961326
COG,0.0,0.0,0.101832
COL,0.0,0.0,4.967146
COM,0.0,0.0,0.023564
CPV,0.0,0.0,0.014816
CRI,0.0,0.0,0.475468
CUB,0.0,0.0,0.474311
CYP,0.0,0.0,0.026106
DJI,0.0,0.0,0.253119
DOM,0.0,0.0,0.732578
DZA,0.0,0.0,7.00384
ECU,0.0,0.0,0.999379
EGY,0.0,0.0,7.622975
ERI,0.0,0.0,0.647038
ETH,0.0,0.0,3.538134
GEO,0.0,0.0,0.291168
GNB,0.0,0.0,0.082517
GRD,0.0,0.0,0.003329
GTM,0.0,0.0,0.882024
HND,0.0,0.0,0.328047
HTI,0.0,0.0,0.56707
IDN,5.019596,0.0,0.0
IND,0.0,0.0,289.459564
IRL,0.0,0.0,0.334866
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.114115
JAM,0.0,0.0,0.181489
JOR,0.0,0.0,0.909527
JPN,3.636718,1.221458,1.321784
KEN,0.0,0.0,8.557251
KHM,0.027266,0.208704,0.0
KOR,2.91681,0.374992,2.65805
LAO,0.0,0.055929,0.0
LBN,0.0,0.0,0.255603
LBY,0.0,0.0,0.793363
LSO,0.0,0.0,0.093721
MAR,0.0,0.0,5.567743
MEX,0.0,0.0,2.575333
MLT,0.0,0.0,0.002164
MNE,0.0,0.0,0.002303
MNG,0.0,0.0,15.397603
MRT,0.0,0.0,2.106061
MYS,0.0,0.0,0.202319
NAM,0.0,0.0,0.693314
NER,0.0,0.0,1.711404
NIC,0.0,0.0,1.291721
NLD,0.0,0.0,0.117066
NPL,0.0,0.0,15.855499
NZL,0.0,0.488506,0.0
OMN,0.0,0.0,1.601173
PAK,0.0,4.235036,166.856613
PAN,0.0,0.0,0.335518
PER,0.0,0.0,0.826841
PHL,1.438208,0.245323,0.0
PRI,0.0,0.0,0.093587
PRY,0.0,0.0,0.157387
PSE,0.0,0.0,0.253417
RWA,0.0,0.0,0.379823
SAU,0.0,0.0,3.206031
SDN,0.0,0.0,11.694079
SEN,0.0,0.0,0.880737
SOM,0.0,0.0,5.319843
SSD,0.0,0.0,3.617177
STP,0.0,0.0,0.002251
SWZ,0.0,0.0,0.169087
SYR,0.0,0.0,1.271971
TCD,0.0,0.0,25.861656
THA,1.300704,0.019779,0.0
TJK,0.0,0.0,0.247159
TKM,0.0,0.0,0.695733
TLS,0.003341,0.01035,0.066253
TTO,0.0,0.0,0.00687
TUN,0.0,0.0,1.242338
TUR,0.0,0.0,1.668762
TWN,0.219836,0.00074,0.0
TZA,0.0,0.0,9.636807
UGA,0.0,0.0,3.555149
URY,0.0,0.0,2.438578
VEN,0.0,0.0,3.763246
VNM,1.433684,0.832676,0.0
YEM,0.0,0.0,3.183534
ZAF,0.0,0.0,5.482439
ZMB,0.0,0.0,2.941376
ZWE,0.0,0.0,10.748847
